asin,title,stars,reviews,price,listPrice,category_id,isBestSeller,boughtInLastMonth,imgUrl,productURL,category_name
B014TMV5YE,"Sion Softside Expandable Roller Luggage, Black, Checked-Large 29-Inch",4.5,0,139.99,0.0,104,False,2000,https://m.media-amazon.com/images/I/815dLQKYIYL._AC_UL320_.jpg,https://www.amazon.com/dp/B014TMV5YE,Suitcases
B07GDLCQXV,Luggage Sets Expandable PC+ABS Durable Suitcase Double Wheels TSA Lock Blue,4.5,0,169.99,209.99,104,False,1000,https://m.media-amazon.com/images/I/81bQlm7vf6L._AC_UL320_.jpg,https://www.amazon.com/dp/B07GDLCQXV,Suitcases
B07XSCCZYG,"Platinum Elite Softside Expandable Checked Luggage, 8 Wheel Spinner Suitcase, TSA Lock, Men and Women, True Navy Blue, Checked Medium 25-Inch",4.6,0,365.49,429.99,104,False,300,https://m.media-amazon.com/images/I/71EA35zvJBL._AC_UL320_.jpg,https://www.amazon.com/dp/B07XSCCZYG,Suitcases
B08MVFKGJM,"Freeform Hardside Expandable with Double Spinner Wheels, Navy, 2-Piece Set (21/28)",4.6,0,291.59,354.37,104,False,400,https://m.media-amazon.com/images/I/91k6NYLQyIL._AC_UL320_.jpg,https://www.amazon.com/dp/B08MVFKGJM,Suitcases
B01DJLKZBA,"Winfield 2 Hardside Expandable Luggage with Spinner Wheels, Checked-Large 28-Inch, Deep Blue",4.5,0,174.99,309.99,104,False,400,https://m.media-amazon.com/images/I/61NJoaZcP9L._AC_UL320_.jpg,https://www.amazon.com/dp/B01DJLKZBA,Suitcases
B07XSCD2R4,"Maxlite 5 Softside Expandable Luggage with 4 Spinner Wheels, Lightweight Suitcase, Men and Women, Sapphire Blue, Carry-On 21-Inch",4.5,0,144.49,0.0,104,False,500,https://m.media-amazon.com/images/I/61LnBNsSBSL._AC_UL320_.jpg,https://www.amazon.com/dp/B07XSCD2R4,Suitcases
B07MXF4G8K,"Hard Shell Carry on Luggage Airline Approved, Carry on Suitcases with Wheels, Lightweight PC Luminous Textured Travel Luggage, TSA Approved, 20 Inch Small Carry-On, Black",4.5,0,169.99,0.0,104,False,400,https://m.media-amazon.com/images/I/71CghLYrnAL._AC_UL320_.jpg,https://www.amazon.com/dp/B07MXF4G8K,Suitcases
B07H515VCZ,"Maxporter II 30"" Hardside Spinner Trunk Luggage, Expandable, Navy",4.5,0,299.99,0.0,104,False,100,https://m.media-amazon.com/images/I/81f3h+YHOXL._AC_UL320_.jpg,https://www.amazon.com/dp/B07H515VCZ,Suitcases
B08BXBCNMQ,"Omni 2 Hardside Expandable Luggage with Spinner Wheels, Checked-Large 28-Inch, Arctic Silver",4.5,0,112.63,137.04,104,False,500,https://m.media-amazon.com/images/I/91eOWP4mySL._AC_UL320_.jpg,https://www.amazon.com/dp/B08BXBCNMQ,Suitcases
B0B9K44XTS,Luggage Sets Expandable Lightweight Suitcases with Wheels PC+ABS Durable Travel Luggage TSA Lock Navy Blue 4pcs,4.4,0,209.99,0.0,104,False,200,https://m.media-amazon.com/images/I/81dsv5GrCLL._AC_UL320_.jpg,https://www.amazon.com/dp/B0B9K44XTS,Suitcases
